results_file,config_name,signal,snr,rho,model,layers,act,solver,alpha,K,L,variant,local_method,levels_up,ale_tag,shap_tag,shap_method,shap_sample_method,shap_sample_size,cv_r2,max_r2,ale_bias2_d1,shap_bias2_d1,ale_stddev_d1,shap_stddev_d1,rel_stddev_reduction_d1,ale_bias2_d2,shap_bias2_d2,ale_stddev_d2,shap_stddev_d2,rel_stddev_reduction_d2,ale_bias2_d3,shap_bias2_d3,ale_stddev_d3,shap_stddev_d3,rel_stddev_reduction_d3,ale_bias2_d4,shap_bias2_d4,ale_stddev_d4,shap_stddev_d4,rel_stddev_reduction_d4,ale_bias2_d5,shap_bias2_d5,ale_stddev_d5,shap_stddev_d5,rel_stddev_reduction_d5,ale_bias2_d6,shap_bias2_d6,ale_stddev_d6,shap_stddev_d6,rel_stddev_reduction_d6,ale_bias2_d7,shap_bias2_d7,ale_stddev_d7,shap_stddev_d7,rel_stddev_reduction_d7,ale_bias2_d8,shap_bias2_d8,ale_stddev_d8,shap_stddev_d8,rel_stddev_reduction_d8,ale_bias2_d9,shap_bias2_d9,ale_stddev_d9,shap_stddev_d9,rel_stddev_reduction_d9,ale_bias2_d10,shap_bias2_d10,ale_stddev_d10,shap_stddev_d10,rel_stddev_reduction_d10,shap_time_mean,ale_time_mean,f_stddev,rel_stddev_reduction
results_sample_X_gaussian_d2_f9df222f_snr9_signal_threshold_nn_h10_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_threshold,9.0,0.9,nn_h10_tanh_alpha0.0001_lbfgs,100,tanh,lbfgs,0.01,40,25,standard,path_rep,0,K40_L25_path_rep,exact,exact_shap,none,1000,0.8898,0.9000,0.000780,0.229905,0.168455,1.652063,+0.8980,0.001644,0.229711,0.178253,1.649713,+0.8919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000506,0.000426,0.08738647507155414,+0.8950
results_sample_X_gaussian_d2_f9df222f_snr9_signal_threshold_nn_h10_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_threshold,9.0,0.9,nn_h10_tanh_alpha0.0001_lbfgs,100,tanh,lbfgs,0.01,40,25,standard,self,0,K40_L25_self,exact,exact_shap,none,1000,0.8898,0.9000,0.000768,0.229905,0.196718,1.652063,+0.8809,0.002452,0.229711,0.195710,1.649713,+0.8814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000506,0.000392,0.08738647507155414,+0.8811
results_sample_X_gaussian_d2_f9df222f_snr9_signal_threshold_nn_h10_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_threshold,9.0,0.9,nn_h10_tanh_alpha0.0001_lbfgs,100,tanh,lbfgs,0.01,40,25,standard,interpolate,0,K40_L25_interpolate,exact,exact_shap,none,1000,0.8898,0.9000,0.012389,0.229905,0.208533,1.652063,+0.8738,0.009510,0.229711,0.288352,1.649713,+0.8252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000506,0.000352,0.08738647507155414,+0.8495
results_sample_X_gaussian_d2_f9df222f_snr9_signal_threshold_nn_h10_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_threshold,9.0,0.9,nn_h10_tanh_alpha0.0001_lbfgs,100,tanh,lbfgs,0.01,40,25,standard,path_integral,0,K40_L25_path_integral,exact,exact_shap,none,1000,0.8898,0.9000,0.016149,0.229905,0.229289,1.652063,+0.8612,0.009744,0.229711,0.368444,1.649713,+0.7767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000506,0.005076,0.08738647507155414,+0.8189
results_sample_X_gaussian_d2_08514e44_snr9_signal_basic_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_basic,9.0,0.99,nn_h3_tanh_alpha0.0001_lbfgs,3,tanh,lbfgs,0.0001,40,25,standard,path_rep,0,K40_L25_path_rep,exact,exact_shap,none,1000,0.9006,0.9000,0.003904,0.001402,0.217759,1.219308,+0.8214,0.006137,0.000866,0.270663,1.234499,+0.7808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000383,0.000433,0.10207855921557143,+0.8011
results_sample_X_gaussian_d2_08514e44_snr9_signal_basic_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_basic,9.0,0.99,nn_h3_tanh_alpha0.0001_lbfgs,3,tanh,lbfgs,0.0001,40,25,standard,self,0,K40_L25_self,exact,exact_shap,none,1000,0.9006,0.9000,0.003887,0.001402,0.222820,1.219308,+0.8173,0.006238,0.000866,0.270493,1.234499,+0.7809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000383,0.000386,0.10207855921557143,+0.7991
results_sample_X_gaussian_d2_08514e44_snr9_signal_basic_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,local_methods,signal_basic,9.0,0.99,nn_h3_tanh_alpha0.0001_lbfgs,3,tanh,lbfgs,0.0001,40,25,standard,interpolate,0,K40_L25_interpolate,exact,exact_shap,none,1000,0.9006,0.9000,0.004290,0.001402,0.234616,1.219308,+0.8076,0.006065,0.000866,0.265707,1.234499,+0.7848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000383,0.000362,0.10207855921557143,+0.7962
results_sample_X_gaussian_d2_f9df222f_snr9_signal_basic_interaction_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,interactions,signal_basic_interaction,9.0,0.9,nn_h3_tanh_alpha0.0001_lbfgs,10,relu,lbfgs,0.001,40,25,standard,interpolate,0,K40_L25_interpolate,exact,exact_shap,none,1000,0.8887,0.9000,nan,nan,0.292947,1.418602,+0.7935,nan,nan,0.315434,1.422886,+0.7783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000391,0.000094,0.3016292176969752,+0.7859
results_sample_X_gaussian_d2_f9df222f_snr9_signal_basic_interaction_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,interactions,signal_basic_interaction,9.0,0.9,nn_h3_tanh_alpha0.0001_lbfgs,10,relu,lbfgs,0.001,40,25,standard,path_rep,0,K40_L25_path_rep,exact,exact_shap,none,1000,0.8887,0.9000,nan,nan,0.281760,1.418602,+0.8014,nan,nan,0.331175,1.422886,+0.7673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000391,0.000166,0.3016292176969752,+0.7843
results_sample_X_gaussian_d2_f9df222f_snr9_signal_basic_interaction_nn_h3_tanh_alpha0.0001_lbfgs_n1000_R100.pkl,interactions,signal_basic_interaction,9.0,0.9,nn_h3_tanh_alpha0.0001_lbfgs,10,relu,lbfgs,0.001,40,25,standard,self,0,K40_L25_self,exact,exact_shap,none,1000,0.8887,0.9000,nan,nan,0.288261,1.418602,+0.7968,nan,nan,0.335936,1.422886,+0.7639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000391,0.000128,0.3016292176969752,+0.7804
